variant,horizon,trainable_params,MSE mean,MSE std,MAE mean,MAE std,Runs
no_window_norm,90,393794,169213.58895048918,2132.1811730165205,318.6542573804528,2.651553866638882,5
no_variable_attention,90,393794,186721.0086294349,4674.711023231946,337.2678736075175,5.36887654915961,5
no_decomposition,90,393794,187527.55815597757,7516.439650570247,338.8275875660886,9.607938378203965,5
full,90,393794,192194.4900081972,4952.1416412709505,343.3044608300041,5.475428610622046,5
no_correction,90,244340,195328.2875852201,5623.403576024131,347.5952961451018,6.934469991380802,5
full,365,532669,428501.5370121247,31780.652249756233,524.1541333750508,21.28552185095427,5
no_variable_attention,365,532669,431982.9050732974,35649.802101754896,525.9446715039625,23.118799559610377,5
no_window_norm,365,532669,439905.3608143075,14696.398872818036,536.9317953632396,10.909187203531502,5
no_correction,365,347740,447761.56223269843,8338.522306612083,538.8248979070914,6.3028088203439,5
no_decomposition,365,532669,501846.9735472921,20543.926236793846,571.751793496578,12.76744384075645,5
