horizon,seed,source_model,test_mse,test_mae,calibration_scale,calibration_bias,calibration_method
90,2026,dmsaformer,174636.65574918035,323.03506060517765,0.6872984766960144,-0.08284752815961838,validation_affine_self
90,2027,dmsaformer,161328.44562714428,310.0176967814357,1.0154099464416504,-0.05531492829322815,validation_affine_self
90,2028,dmsaformer,161368.42189369706,311.49716715422204,1.042645812034607,-0.03325473517179489,validation_affine_self
90,2029,dmsaformer,159012.9417514264,309.07462943401225,1.0020723342895508,-0.08574065566062927,validation_affine_self
90,2030,dmsaformer,159183.42355803307,308.23387202426767,1.0081970691680908,-0.08086621016263962,validation_affine_self
365,2026,dmsaformer,302988.3944712899,437.9713514247269,0.6735886931419373,-0.18399028480052948,validation_affine_self
365,2027,dmsaformer,325325.9015608201,456.3341600663804,0.5939496755599976,-0.17758119106292725,validation_affine_self
365,2028,dmsaformer,258016.58250306698,397.70326392031683,0.6517453193664551,-0.1747080385684967,validation_affine_self
365,2029,dmsaformer,321738.8422777648,453.51261538547146,0.5682438611984253,-0.17651084065437317,validation_affine_self
365,2030,dmsaformer,266204.4433415028,405.87014857871543,0.6139553785324097,-0.17085346579551697,validation_affine_self
