epoch,train_loss,valid_mse,valid_mae
1,0.8054637014865875,0.8755760060194524,0.7122098775319848
2,0.7464476227760315,0.8578145278366102,0.7048059312569694
3,0.7157002985477448,0.8522712108301393,0.7046366949409723
4,0.6824222207069397,0.854369467337085,0.7094615240060996
5,0.6572502851486206,0.8618130622129563,0.7177148293289638
6,0.6236028075218201,0.8715036051686926,0.7274026376527272
7,0.5968841910362244,0.8802969012912736,0.7365694902250679
8,0.5728054344654083,0.885952879874416,0.7437321421356575
9,0.5485270619392395,0.888518220253944,0.7490142504796854
10,0.5163825452327728,0.8890331891511739,0.7527245091591014
11,0.5007535219192505,0.8895806751571903,0.755966780335391
